DATE,AQI
24-03-20,124
25-03-20,92
26-03-20,93
27-03-20,76
28-03-20,51
29-03-20,64
30-03-20,74
31-03-20,81
01-04-20,80
02-04-20,78
03-04-20,84
04-04-20,90
05-04-20,103
06-04-20,134
07-04-20,100
08-04-20,91
09-04-20,89
10-04-20,111
11-04-20,126
12-04-20,102
13-04-20,119
14-04-20,134
15-04-20,152
16-04-20,172
17-04-20,123
18-04-20,102
19-04-20,95
20-04-20,115
21-04-20,102
22-04-20,122
23-04-20,129
24-04-20,143
25-04-20,121
26-04-20,119
27-04-20,98
28-04-20,105
29-04-20,123
30-04-20,128
01-05-20,140
02-05-20,127
03-05-20,110
04-05-20,92
05-05-20,117
06-05-20,139
07-05-20,140
08-05-20,138
09-05-20,142
10-05-20,127
11-05-20,113
12-05-20,122
13-05-20,132
14-05-20,154
15-05-20,125
16-05-20,175
17-05-20,202
18-05-20,222
19-05-20,238
20-05-20,196
21-05-20,149
22-05-20,199
23-05-20,202
24-05-20,174
25-05-20,157
26-05-20,153
27-05-20,156
28-05-20,174
