DATE,CO,SO2,O3
31-03-18,1.17,16.59,67.56
01-04-18,1.01,14.13,68.76
02-04-18,1.22,16.54,64.33
03-04-18,1.28,17.36,67.6
04-04-18,1.44,16.58,65.46
05-04-18,1.76,19.67,64.73
06-04-18,1.42,19.96,54.04
07-04-18,1.12,10.48,54.42
08-04-18,1.09,10.5,56.29
09-04-18,1.35,10.77,42.76
10-04-18,1.57,12.65,60.94
11-04-18,0.99,11.21,46.34
12-04-18,1.3,10.07,48.2
13-04-18,1.78,13.37,47.74
14-04-18,2.12,15.77,47.69
15-04-18,2.26,17.56,53.47
16-04-18,2.51,21.02,55.85
17-04-18,1.56,13.57,49.19
18-04-18,1.04,13.29,51.01
19-04-18,1.19,16.76,53.3
20-04-18,0.91,15.55,48.98
21-04-18,0.89,12.08,61.05
22-04-18,0.85,16.92,60.81
23-04-18,1.03,12.89,63.78
24-04-18,1.28,17.01,59.45
25-04-18,2.02,15.1,48.81
26-04-18,2.09,17.89,65.07
27-04-18,1.41,12.96,69.49
28-04-18,1.14,12.38,75.5
29-04-18,1.26,16.1,69.07
30-04-18,1.12,11.9,60.39
01-05-18,0.81,8.8,65.54
02-05-18,1.02,7.65,64.55
03-05-18,1.23,9.52,50.16
04-05-18,1.17,9.06,59.09
05-05-18,1.74,11.85,59.48
06-05-18,2.05,14.61,57.57
07-05-18,2.2,16.31,57.48
08-05-18,1.31,6.97,61.42
09-05-18,1.46,12.35,53.1
10-05-18,2.41,12.02,57.78
11-05-18,2.73,16.58,65.24
12-05-18,3.2,17.75,67.9
13-05-18,2.1,11.48,67.88
14-05-18,2.05,11.3,56.2
15-05-18,1.91,11.9,62.52
16-05-18,1.11,9.25,54.41
17-05-18,0.85,13.61,70.39
18-05-18,1.07,13.97,58.67
19-05-18,1.46,12.48,57.66
20-05-18,1.08,12.65,55.77
21-05-18,0.91,12.73,60.27
22-05-18,1.17,15.56,59.41
23-05-18,1.66,17.57,59.46
24-05-18,1.34,17.78,53.43
25-05-18,1.31,12.73,48.95
26-05-18,1.47,14.9,49.85
27-05-18,1.1,11.59,56.75
28-05-18,1.33,15.54,59.11
29-05-18,1.4,11.93,59.1
30-05-18,0.95,8.58,59.9
31-05-18,1,9.71,50.6
01-06-18,0.81,8.24,58.87
02-06-18,0.98,9.08,60.12
03-06-18,0.84,7.79,57.87
04-06-18,0.81,8.14,57.03
05-06-18,0.82,7.51,48.46
06-06-18,0.88,9.34,48.47
07-06-18,0.96,10.1,60.18
08-06-18,0.95,7.75,54.22
09-06-18,0.9,6.41,41.95
10-06-18,0.93,7.35,45.16
11-06-18,0.9,6.94,46.66
12-06-18,0.87,8.73,37.85
13-06-18,0.77,6.91,27.45
14-06-18,0.72,7.22,43.38
15-06-18,0.7,7.31,40.15
16-06-18,0.68,7.29,45.76
17-06-18,0.68,6.18,44.56
18-06-18,0.77,7.71,46.41
19-06-18,0.68,6.5,53.39
20-06-18,0.77,10.05,60.2
21-06-18,0.75,9.73,66.75
22-06-18,0.99,12.38,64.38
23-06-18,0.96,11.68,66.18
24-06-18,0.77,13.73,59.17
25-06-18,0.74,12.17,39.06
26-06-18,0.72,13.16,33.09
27-06-18,0.84,10.43,44.04
28-06-18,0.76,8.48,33.17
29-06-18,0.87,9.36,31.43
30-06-18,0.91,9.55,31.21
01-07-18,0.78,8.53,28.09
02-07-18,0.65,8.82,33.79
03-07-18,0.86,10.11,39.78
04-07-18,0.78,10.14,45.71
05-07-18,0.95,11.14,41.14
06-07-18,0.94,10.27,40.01
07-07-18,0.9,10.4,53.82
08-07-18,0.98,11.6,65.27
09-07-18,0.93,11,54.8
10-07-18,0.81,10.92,43.89
11-07-18,0.84,11.26,34.6
12-07-18,0.76,10.92,45.16
13-07-18,0.88,10.69,26.96
14-07-18,0.84,11.13,29.2
15-07-18,0.78,10.64,28.01
16-07-18,0.96,9.51,23.59
17-07-18,0.87,10.2,31.96
18-07-18,0.82,11.04,32.43
19-07-18,0.8,11.14,31.96
20-07-18,0.89,10.4,24.18
21-07-18,0.97,11.2,32.23
22-07-18,0.83,9.85,24.91
23-07-18,0.81,10.43,26.11
24-07-18,0.83,10.78,34.46
25-07-18,0.81,9.99,21.39
26-07-18,0.89,9.27,18.6
27-07-18,0.91,9.13,19.82
28-07-18,0.73,9.55,24.11
29-07-18,0.74,9.37,26.19
30-07-18,0.8,8.96,28.09
31-07-18,0.91,9.12,27.81
01-08-18,0.94,9.71,29.94
02-08-18,0.86,10.22,29.3
03-08-18,0.78,9.48,28.1
04-08-18,0.76,9.61,29.61
05-08-18,0.71,9.86,25.4
06-08-18,0.9,9.4,27.42
07-08-18,0.98,10.65,32.06
08-08-18,1.02,9.47,31.12
09-08-18,0.89,9.85,34.11
10-08-18,1.11,9.66,31.83
11-08-18,0.7,8.84,27.66
12-08-18,0.66,9.09,23.92
13-08-18,0.84,9.26,27.7
14-08-18,1.09,9.86,32.47
15-08-18,0.84,8.85,34.04
16-08-18,1.21,10.43,31.87
17-08-18,0.98,9.26,30.62
18-08-18,0.88,10.05,30.9
19-08-18,1.07,11.4,32.1
20-08-18,1.18,10.88,39.36
21-08-18,1.02,11.99,31.02
22-08-18,0.9,11.43,25.33
23-08-18,0.82,10.82,18.25
24-08-18,0.8,10.4,19.29
25-08-18,0.68,10.9,20.69
26-08-18,0.6,10.31,24.77
27-08-18,0.78,10.82,26.5
28-08-18,0.85,10.84,21.91
29-08-18,0.9,10.23,21.53
30-08-18,0.95,9.97,27.06
31-08-18,0.82,9.67,23.57
01-09-18,1.02,10.53,19.58
02-09-18,0.87,9.81,23.36
03-09-18,1.06,9.96,26.15
04-09-18,1.29,10.8,26.55
05-09-18,1.04,9.62,20.64
06-09-18,0.96,10.13,26.24
07-09-18,1.1,10.75,28.23
08-09-18,0.84,11.38,23.65
09-09-18,0.72,10.98,26.36
10-09-18,0.88,11.21,29.46
11-09-18,0.78,9.77,23.21
12-09-18,0.71,10.31,22.44
13-09-18,0.63,11.24,23.11
14-09-18,0.7,11.21,24.58
15-09-18,0.8,11.74,25.86
16-09-18,0.72,11.14,26.12
17-09-18,0.78,11.12,35.01
18-09-18,0.75,11.95,38.79
19-09-18,0.89,13.43,40.04
20-09-18,0.98,14.41,49.18
21-09-18,0.75,12.74,30.31
