DATE,NO2
01-02-20,44.25
02-02-20,45.28
03-02-20,53.71
04-02-20,64.8
05-02-20,53.35
06-02-20,51.82
07-02-20,58.46
08-02-20,47.55
09-02-20,50.75
10-02-20,56.48
11-02-20,60.12
12-02-20,55.96
13-02-20,41.59
14-02-20,34.6
15-02-20,44.57
16-02-20,57.15
17-02-20,61.17
18-02-20,59.91
19-02-20,59.9
20-02-20,44.05
21-02-20,33.27
22-02-20,41.23
23-02-20,42.24
24-02-20,44.2
25-02-20,46.76
26-02-20,50.67
27-02-20,46.15
28-02-20,33.92
29-02-20,33.98
01-03-20,40.73
02-03-20,50.23
03-03-20,46.6
04-03-20,45.62
05-03-20,32.97
06-03-20,33.71
07-03-20,35.53
08-03-20,37.14
09-03-20,32.29
10-03-20,30.22
11-03-20,29.76
12-03-20,36.74
13-03-20,40.53
14-03-20,34.59
15-03-20,41.09
16-03-20,41.52
17-03-20,43.5
18-03-20,45.86
19-03-20,45.67
20-03-20,51.26
21-03-20,46.04
22-03-20,29.85
23-03-20,25.96
24-03-20,27.07
25-03-20,21.11
26-03-20,16.58
27-03-20,15.32
28-03-20,17.52
29-03-20,16.6
30-03-20,17.52
31-03-20,18.03
01-04-20,19.17
02-04-20,17.18
03-04-20,20.07
04-04-20,22.38
05-04-20,24.42
06-04-20,24.37
07-04-20,19.27
08-04-20,18.56
09-04-20,21.37
10-04-20,27.12
11-04-20,23.64
12-04-20,17.59
13-04-20,23.4
14-04-20,25.71
15-04-20,24.55
16-04-20,25.01
17-04-20,15.83
18-04-20,15.45
19-04-20,19.72
20-04-20,24.56
21-04-20,19.64
22-04-20,24.79
23-04-20,24.83
24-04-20,25.62
25-04-20,18.68
26-04-20,17.45
27-04-20,14.8
28-04-20,17.35
29-04-20,20.11
30-04-20,17.61
01-05-20,18.46
02-05-20,14.36
03-05-20,15.14
04-05-20,16.95
05-05-20,21.36
06-05-20,21.88
07-05-20,17.97
08-05-20,21.66
09-05-20,17.65
10-05-20,16.46
11-05-20,19.53
12-05-20,18.49
13-05-20,21.34
14-05-20,25.12
15-05-20,23.45
16-05-20,26.17
17-05-20,31.96
18-05-20,34.76
19-05-20,42.67
20-05-20,32.8
21-05-20,31.36
22-05-20,45.36
23-05-20,42.43
24-05-20,27.35
25-05-20,30.92
26-05-20,37.79
27-05-20,26.95
28-05-20,17.1
29-05-20,19.02
30-05-20,18.51
31-05-20,17.05
